#;;x;;;;;;;;;;;;x
banale_1_desc;;Le prélèvement de redevances banales est possible sur ces terres. Ceci à condition d'édifier et d'entretenir les bâtiments permettant une telle taxation. Les possiblités sont limitées, à moins d'opter pour des banalités étendues également à d'autres domaines. \nLes banalités disponibles sont : \n -le four banal\n -le moulin banal\n -le pressoir banal.;;;;;;;;;;;;x
banale_2;;Droit banal étendu;;;;;;;;;;;;x
banale_2_option;;Etendu;;;;;;;;;;;;x
banale_2_desc;;Le prélèvement de redevances banales est possible sur ces terres. Ceci à condition d'édifier et d'entretenir les bâtiments permettant une telle taxation. Plus de bâtiments et services sont accessibles pour servir d'assiette d'imposition. \nLes banalités étendues disponibles sont : \n -le taureau banal\n -le four banal agrandi\n -le moulin banal agrandi\n -le pressoir banal agrandi.;;;;;;;;;;;;x#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;TYPE REPUBLIQUE;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
republique_etatique;;x;;;;;;;;;;;;x
republique_etatique;;x;;;;;;;;;;;;x
republique_marchande;;x;;;;;;;;;;;;x
republique_marchande;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
posture_rep;;Notre République;;;;;;;;;;;;x
posture_rep_desc;;Permet de déterminer si une république sera purement commerciale ou si elle s'avèrera davantage porter sur le pouvoir.;;;;;;;;;;;;x
posture_rep_0;;République sans statut particulier;;;;;;;;;;;;x
posture_rep_0_option;;NEUTRE;;;;;;;;;;;;x
posture_rep_0_desc;;Aucun statut n'est déterminé pour cette république.;;;;;;;;;;;;x
posture_rep_1;;Ligue de villes;;;;;;;;;;;;x
posture_rep_1_option;;Étatique;;;;;;;;;;;;x
posture_rep_1_desc;;Cette république rassemble plusieurs villes alliées à la fois pour organiser leur défense mais aussi pour former un état à part entière qui compte bien se faire sa place et se confronter à ses voisins.;;;;;;;;;;;;x
posture_rep_2;;République marchande;;;;;;;;;;;;x
posture_rep_2_option;;Marchande;;;;;;;;;;;;x
posture_rep_2_desc;;Le focus de cette république c'est le commerce et... le commerce. Cela limite ses possiblités d'expansion territoriales.;;;;;;;;;;;;x
